_id,Date,Leasee,Name of Event,Place,Type,Revenue,Attendance
202,2014,Ballet Magnificat/City of Jackson,Most Incredible Christmas,Thalia Mara,Ballet,0.0000,6120
203,2015,Mississippi Symphony,Sibelius' Third,Thalia Mara,Symphony,4359.0000,1069
204,2015,"Live Nation Worldwide, Inc.",Kevin Hart Comedy Show,Thalia Mara,Comedy,17076.0000,4058
205,2015,Mississippi Symphony,A Tribute to Motown and R&B,Thalia Mara,Concert,4159.0000,1069
206,2015,Xperience Jxn Entertainment,Monica Concert with Comedian Shawty,Thalia Mara,Concert,7560.0000,1857
207,2015,Mississippi Symphony,Brahm's Third,Thalia Mara,Symphony,4359.0000,1069
208,2015,City of Jackson,Chinese New Year Event,Thalia Mara,City Event,0.0000,1500
209,2015,Mississippi Symphony,All City,Thalia Mara,Symphony,200.0000,0
210,2015,Florida Falun Dafa Association,Shen Yun,Thalia Mara,Dance,6700.0000,1500
211,2015,University of Mississippi Foundation,Gladys Knight Concert,Thalia Mara,Concert,5079.0000,2016
212,2015,Mississippi Symphony,A Tribute To Elvis,Thalia Mara,Symphony,4359.0000,1069
213,2015,Ardenland,Gov't Mule Concert,Thalia Mara,Concert,5415.0000,1074
214,2015,Mississippi Symphony,Tchaikovsky's Fifth,Thalia Mara,Symphony,4359.0000,1069
215,2015,Mississippi Museum of Art,MMA Scholastic Awards Ceremony,Thalia Mara,City Event,0.0000,500
216,2015,Ballet Mississippi,Coppelia,Thalia Mara,Children's Show,3508.0000,1286
217,2015,"Live Nation Worldwide, Inc.",Bill Burr Comedy Show,Thalia Mara,Comedy,4486.3100,816
218,2015,Belhaven College,2 Graduations,Thalia Mara,Graduation,1400.0000,4080
219,2015,Beverly's School of Dance,50th Anniversary Dance Recital,Thalia Mara,Dance,950.0000,500
220,2015,Jackson Prep High School,Graduation,Thalia Mara,Graduation,1250.0000,2040
221,2015,Tabernacle of Crace AME Zion Church,It's Time For A Change,Thalia Mara,Chorus,1526.0000,163
222,2015,City of Jackson/Parks and Recreation,Dance Recital,Thalia Mara,Dance,0.0000,100
223,2015,Northwest Middle School,Graduation,Thalia Mara,Graduation,0.0000,1800
224,2015,Southern Classic Bodybuilders,Southern Classic Bodybuilding,Thalia Mara,Competition,1950.0000,1000
225,2015,Ardenland,Boston Concert,Thalia Mara,Concert,8313.0000,2040
226,2015,Flat 9 Entertainment,Tamela Mann Concert,Thalia Mara,Concert,4680.0000,772
227,2015,Ardenland,Old Crow Medicine Show Concert,Thalia Mara,Concert,5541.0000,1104
228,2015,General Missionary Baptist State Convention,General Missionary Baptist State Convention,Thalia Mara,Convention,700.0000,1800
229,2015,Xperience Jxn Entertainment,K Michelle Concert,Thalia Mara,Concert,7548.0000,1850
230,2015,"Live Nation Worldwide, Inc.",3 Doors Down Concert,Thalia Mara,Concert,6852.0000,1572
231,2015,Ardenland,Jill Scott Concert,Thalia Mara,Concert,7866.0000,1995
232,2015,Innovation Arts and Entertainment,The Price Is Right Live,Thalia Mara,Live Show,6922.0000,1474
233,2015,Mississippi Symphony,JPS Children's Shows,Thalia Mara,Children's Show,400.0000,4000
234,2015,The Dialogue Institute,Whirling Dervishes,Thalia Mara,Dance,1194.0000,796
235,2015,Mississippi Bar Association,Mississippi Bar Admission Ceremony,Thalia Mara,Event,700.0000,1400
236,2015,Family Worship Center Church,Gabriel Swaggart Rally,Thalia Mara,Church Event,750.0000,2040
237,2015,Mississippi Symphony,Bravo I: From The New World,Thalia Mara,Symphony,1150.0000,993
238,2015,City of Jackson,"These Are Just Jokes, Vol. 3",Thalia Mara,Comedy,327.0000,109
239,2015,City of Jackson,Syleena Johnson Concert,Thalia Mara,Concert,486.0000,162
240,2015,Mississippi Symphony,Pops I: Symphantastic,Thalia Mara,Symphony,1150.0000,567
241,2015,Chamber Theatre,Encore,Thalia Mara,Children's Show,1200.0000,1300
242,2015,Mississippi Symphony,Bravo II: Perpetual Motion,Thalia Mara,Symphony,1150.0000,580
243,2015,Innovation Arts and Entertainment,Mannheim Steamroller Christmas,Thalia Mara,Concert,8198.0000,1841
244,2015,Mississippi Symphony,Star Wars and Beyond,Thalia Mara,Symphony,1150.0000,1865
245,2015,Innovation Arts and Entertainment,Cirque Dreams Holidaze,Thalia Mara,Circus,6796.0000,1529
246,2015,Ballet Mississippi,The Nutcracker,Thalia Mara,Ballet,3450.0000,6900
247,2015,Belhaven College,Graduation,Thalia Mara,Graduation,700.0000,2040
248,2015,Ballet Magnificat,Most Incredible Christmas,Thalia Mara,Ballet,0.0000,6120
249,2016,Innovation Arts and Entertainment,Jersey Boys,Thalia Mara,Musical,36994.0000,8151
250,2016,City of Jackson,Kings of The South Tour,Thalia Mara,Concert,3419.0000,831
251,2016,City of Jackson,Hip Hop Awards,Thalia Mara,Concert,1726.0000,838
252,2016,Ardenland,Tedeschi Trucks Band,Thalia Mara,Concert,6783.0000,1519
253,2016,Mississippi Symphony,Bravo III: Truly Classical,Thalia Mara,Symphony,1150.0000,1150
254,2016,City of Jackson,Chinese New Year Event,Thalia Mara,City Event,0.0000,900
255,2016,Innovation Arts and Entertainment,Beauty and The Beast,Thalia Mara,Musical,8257.0000,2023
256,2016,Mississippi Symphony,"Pops II: Shaken, Not Stirred",Thalia Mara,Symphony,950.0000,1562
257,2016,Innovation Arts and Entertainment,Yanni,Thalia Mara,Concert,5951.0000,1097
258,2016,Xperience Jxn Entertainment,Lyfe Jennings Concert,Thalia Mara,Concert,4638.0000,914
259,2016,Innovation Arts and Entertainment,Annie,Thalia Mara,Musical,8188.0000,2019
260,2016,City of Jackson/Parks and Recreation,Dance of The Lion King,Thalia Mara,Dance,972.0000,644
261,2016,"Perspective Entertainment, LLC",Paul Porter Concert,Thalia Mara,Concert,4218.0000,1602
262,2016,Ardenland,Melissa Etheridge Concert,Thalia Mara,Concert,4668.0000,836
263,2016,Mississippi Symphony,Bravo IV: Resounding Romanticism,Thalia Mara,Symphony,1150.0000,1400
